amplitude,n,type,MSE,MAPE
0.01,72,abstract,0.14416156074956818,44.21877567530711
0.01,72,classical,inf,inf
0.01,73,abstract,0.14422862819862195,44.219982586712405
0.01,73,classical,inf,inf
0.01,74,abstract,0.1440646957918592,44.223904248804345
0.01,74,classical,inf,inf
0.01,75,abstract,0.14406141389956223,44.21926343155327
0.01,75,classical,inf,inf
0.01,76,abstract,0.14385918112454107,44.2240116523123
0.01,76,classical,inf,inf
0.01,77,abstract,0.1439229039021754,44.219268386083066
0.01,77,classical,inf,inf
0.01,78,abstract,0.14402515705619945,44.22598700687765
0.01,78,classical,inf,inf
0.01,79,abstract,0.14411760537313942,44.22329093013253
0.01,79,classical,inf,inf
0.01,80,abstract,0.1439615074859571,44.22564256955929
0.01,80,classical,inf,inf
0.01,81,abstract,0.14406938677462505,44.22332467044357
0.01,81,classical,inf,inf
0.01,82,abstract,0.1439358738561442,44.22804979148957
0.01,82,classical,inf,inf
0.01,83,abstract,0.14370189612309953,44.22286517164541
0.01,83,classical,inf,inf
0.01,84,abstract,0.1439882137747955,44.222957456277676
0.01,84,classical,inf,inf
0.01,85,abstract,0.14370113315207714,44.21667581014504
0.01,85,classical,inf,inf
0.01,86,abstract,0.14423117055131174,44.21376536404343
0.01,86,classical,inf,inf
0.01,87,abstract,0.144020383434478,44.22387147975825
0.01,87,classical,inf,inf
0.01,88,abstract,0.14400673409479764,44.22065830171306
0.01,88,classical,inf,inf
0.01,89,abstract,0.14445714529266795,44.22290923413799
0.01,89,classical,inf,inf
0.01,90,abstract,0.14401056864696982,44.21889966977833
0.01,90,classical,inf,inf
0.01,91,abstract,0.1439500889031052,44.21679982511433
0.01,91,classical,inf,inf
0.01,92,abstract,0.14401403303800317,44.21943771499694
0.01,92,classical,inf,inf
0.01,93,abstract,0.1439367240646921,44.22750006682792
0.01,93,classical,inf,inf
0.01,94,abstract,0.1440698249777556,44.22683948217439
0.01,94,classical,inf,inf
0.01,95,abstract,0.14395506034263217,44.22185314965203
0.01,95,classical,inf,inf
0.01,96,abstract,0.14417657663128106,44.22842645868425
0.01,96,classical,inf,inf
0.01,97,abstract,0.1438184799626096,44.224424794253316
0.01,97,classical,inf,inf
0.01,98,abstract,0.14386897750278577,44.232258369645656
0.01,98,classical,inf,inf
0.01,99,abstract,0.14386189238737482,44.22963790686576
0.01,99,classical,inf,inf
0.02,0,abstract,0.15016688356562058,44.250513941647796
0.02,0,classical,inf,inf
0.02,1,abstract,0.15080474554211573,44.264055484742
0.02,1,classical,inf,inf
0.02,2,abstract,0.15063764973990326,44.289536057919356
0.02,2,classical,inf,inf
0.02,3,abstract,0.15055269385084177,44.268275922765554
0.02,3,classical,inf,inf
0.02,4,abstract,0.15032792921392435,44.251741080478425
0.02,4,classical,inf,inf
0.02,5,abstract,0.15041211927303033,44.29509891145189
0.02,5,classical,inf,inf
0.02,6,abstract,0.15017854469028213,44.2903455723651
0.02,6,classical,inf,inf
0.02,7,abstract,0.15034308594188028,44.25090261759032
0.02,7,classical,inf,inf
0.02,8,abstract,0.15064274194133462,44.26424147670438
0.02,8,classical,inf,inf
0.02,9,abstract,0.15100295437600697,44.28350827805396
0.02,9,classical,inf,inf
0.02,10,abstract,0.1503151262316924,44.24407472500433
0.02,10,classical,inf,inf
0.02,11,abstract,0.15035108031736527,44.25500135682105
0.02,11,classical,inf,inf
0.02,12,abstract,0.15114192241490565,44.268205349803594
0.02,12,classical,inf,inf
0.02,13,abstract,0.15040839489262778,44.261314123812745
0.02,13,classical,inf,inf
0.02,14,abstract,0.14997489643243678,44.24391357078446
0.02,14,classical,inf,inf
0.02,15,abstract,0.1497837637632192,44.265478960987096
0.02,15,classical,inf,inf
0.02,16,abstract,0.15003277576318205,44.27178898262164
0.02,16,classical,inf,inf
0.02,17,abstract,0.15054417658855115,44.24911731580954
0.02,17,classical,inf,inf
0.02,18,abstract,0.1502858618499889,44.297659869769525
0.02,18,classical,inf,inf
0.02,19,abstract,0.15057601843259116,44.281329998150994
0.02,19,classical,inf,inf
0.02,20,abstract,0.1502192191279397,44.26180757439081
0.02,20,classical,inf,inf
0.02,21,abstract,0.14992291758507995,44.272562847573575
0.02,21,classical,inf,inf
0.02,22,abstract,0.150948358041033,44.27704013970188
0.02,22,classical,inf,inf
0.02,23,abstract,0.1509233347946461,44.2745292936688
0.02,23,classical,inf,inf
0.02,24,abstract,0.14987188485083525,44.234388667796686
0.02,24,classical,inf,inf
0.02,25,abstract,0.15017817150128976,44.23188144599846
0.02,25,classical,inf,inf
0.02,26,abstract,0.15033609801210787,44.25944387704926
0.02,26,classical,inf,inf
0.02,27,abstract,0.15085086040159826,44.26635207685845
0.02,27,classical,inf,inf
0.02,28,abstract,0.1506745913785347,44.26931510984398
0.02,28,classical,inf,inf
0.02,29,abstract,0.15010973198536884,44.24701200631979
0.02,29,classical,inf,inf
0.02,30,abstract,0.15012997307438491,44.26812298168062
